user_id,status_id,created_at,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count
1.22589E+18,1.23292E+18,2/27/20 6:41, DrDenaGrayson Wait you mean thoughtsandprayers aren't going to work against covid19 coronavirus ,TweetDeck,89,1.23292E+18,1651522832,DrDenaGrayson,FALSE,FALSE,1,0,NA,NA
1.09521E+18,1.23292E+18,2/27/20 6:41,Wishing prince of INCIndia RahulGandhi coronavirus free Bangkok holiday ,Twitter for iPhone,76,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
1363083624,1.23292E+18,2/27/20 6:41,The problem with CoronaVirus is that there will be very few cases for a while then they will explode exponentially This is what happened in China in under 2 months and it will happen elsewhere By the time Governments realize what's going on it will be too late,Twitter Web App,267,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
8.58712E+17,1.23292E+18,2/27/20 6:41,Health ministry says no coronavirus in Uganda advises the population to STOP shaking hands and regularly wash hands with soap and water ,Twitter Web App,163,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
17192601,1.23292E+18,2/27/20 6:40,Booking Holdings reports positive 2019 braces for coronavirus impact hotellerie turismo impatto del coronavirus,Twitter Web Client,139,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
4764587063,1.23292E+18,2/27/20 6:40,Whatever happens in China impacts EVERYONE - Kenneth Okwaroh Okwaroh acepis Michaelgor coronavirus coronavirususa CoronavirusFrance,Twitter for Android,139,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
9.78055E+17,1.23292E+18,2/27/20 6:40,Australian Government not waiting for who to declare a pandemic Which is a positive step even if a bit late Hopefully now this means we start seeing some proactive testing coronavirus covid19 coronavirusauatralia,Twitter for iPhone,220,1.23285E+18,9.78055E+17,XRPcharts,FALSE,FALSE,0,0,NA,NA
7.0427E+17,1.23292E+18,2/27/20 6:40,Treatment of Corona Virus with 100 Guarantee For more details about coronavirus treatment use the link below coronavirus China Treatmentofcornavirus coronavirususa coronavirusinpakistan CoronaOutbreak WuhanCoronovirus everydaysciencenews,Twitter Web App,274,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
2380640833,1.23292E+18,2/27/20 6:40, CoronaVirus Panique I'm thinking maybe total fatality rate in the world will remain constant as people learn to wash hands and all the other diseases spread less ,Twitter for Android,167,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
575325816,1.23292E+18,2/27/20 6:40,Denmark Norway both report first coronavirus cases A Danish male tested positive for COVID19 after returning from Italy on Monday according to local media,TweetDeck,158,NA,NA,NA,FALSE,FALSE,1,0,NA,NA
16093222,1.23292E+18,2/27/20 6:40,Staff at the RCHMelbourne have reported being racially profiled in the midst of coronavirus fears including by at least one family who told a doctor they did not want her treating their child due to her race Chief of Critical Care Dr Ed Oakley with Drive now ,TweetDeck,265,NA,NA,NA,FALSE,FALSE,2,1,NA,NA
1.18951E+18,1.23292E+18,2/27/20 6:40,Asians are currently discriminated against But no one appeals to the world Do you know why Everyone is scared I'm scared too But I sue To eliminate this discrimination Coronavirus Coronavirus ,Twitter for iPhone,239,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
20851594,1.23292E+18,2/27/20 6:40, Coronavirus Five Steps to self-isolate ,Twitter for iPhone,64,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
1.14092E+18,1.23292E+18,2/27/20 6:40, LBC TomSwarbrick1 Well the data from SouthKorea's experience with the coronavirus says otherwise ,Twitter for iPhone,82,1.23282E+18,20973388,LBC,FALSE,FALSE,0,0,NA,NA
9.65877E+17,1.23292E+18,2/27/20 6:40,It has been confirmed Coronavirus cases in Karachi and Islamabad plz use appropriate masks and avoid public interaction if not necessary may Allah protect us amp our loveones from this danger Ameen coronavirus ,Twitter Web App,218,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
2357676812,1.23292E+18,2/27/20 6:40, CoronaVirusKenya After CoronaVirus boarded ChinaSouthern it was received at JKIA by traditional dancers CoronaVirus was amused here the residents of the country did not have even protective gear GOK had screwed its people StateHouseKenya InteriorKE MOH Kenya,Twitter Web App,271,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
840979597,1.23292E+18,2/27/20 6:40,Which of Africa's countries are most vulnerable to COVID19 coronavirus - TheLancet publishes new study -After Ebola West African authorities planned biosecurity aggressively -Countries suffer various preparedness challenges - aprzhu/ newhumanitarian gt ,Twitter for iPhone,283,1.23273E+18,840979597,MT_Strat,FALSE,FALSE,0,0,NA,NA
229939631,1.23292E+18,2/27/20 6:40,I wonder what the antivaxxers think about the coronavirus Would the use the vaccine if it became available or not ,Twitter for iPhone,118,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
851180972,1.23292E+18,2/27/20 6:40,European and US stock index futures fall sharply after yesterday's failed rally on Wall Street and as coronavirus fears grow FTSE called down 180,Twitter for iPhone,148,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
593813785,1.23292E+18,2/27/20 6:40,This is pretty wild COVID19 Coronavirus ,Twitter Web App,44,NA,NA,NA,TRUE,FALSE,0,0,NA,NA
131392833,1.23292E+18,2/27/20 6:40,Don't worry folks Trump has totally got this coronavirus thing covered He will nuke the coronavirususa in the USA Afterwards he will reward himself BIGLY by going golfing but only after he checks his microwave for spy cameras LMAO CoronaOutbreak VoteBlueNoMatterWho,Twitter Web App,273,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
1318391,1.23292E+18,2/27/20 6:40,I feel better don't you trumpgonnakillusall coronavirus ,Twitter for iPhone,59,NA,NA,NA,TRUE,FALSE,0,0,NA,NA
